HTNO,SUBJECT_CODE,SUBJECT_NAME,INTERNALMARKS,EXTERNALMARKS,TOTALMARKS,GRADE,GRADE_POINTS,CREDITS
23Q61A0580,181AB,BASIC ELECTRICAL ENGINEERING,27,23,50,B,6,2
23Q61A0581,181AB,BASIC ELECTRICAL ENGINEERING,28,10,38,F,0,0
23Q61A0581,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,37,23,60,B+,7,3
23Q61A0581,181AJ,ENGINEERING CHEMISTRY,25,6,31,F,0,0
23Q61A0581,181AN,MATRICES AND CALCULUS,31,11,42,F,0,0
23Q61A0582,181AB,BASIC ELECTRICAL ENGINEERING,28,9,37,F,0,0
23Q61A0582,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,38,6,44,F,0,0
23Q61A0588,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,39,7,46,F,0,0
23Q61A0588,181AN,MATRICES AND CALCULUS,35,3,38,F,0,0
23Q61A0590,181AB,BASIC ELECTRICAL ENGINEERING,26,4,30,F,0,0
23Q61A0590,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,39,8,47,F,0,0
23Q61A0590,181AN,MATRICES AND CALCULUS,32,3,35,F,0,0
23Q61A0595,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,39,5,44,F,0,0
23Q61A0596,181AB,BASIC ELECTRICAL ENGINEERING,27,5,32,F,0,0
23Q61A0596,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,36,4,40,F,0,0
23Q61A0596,181AN,MATRICES AND CALCULUS,35,7,42,F,0,0
23Q61A0597,181AN,MATRICES AND CALCULUS,35,21,56,B,6,4
23Q61A0598,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,37,8,45,F,0,0
23Q61A0598,181AN,MATRICES AND CALCULUS,28,3,31,F,0,0
23Q61A0599,181AB,BASIC ELECTRICAL ENGINEERING,27,3,30,F,0,0
23Q61A0599,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,38,12,50,F,0,0
23Q61A0599,181AN,MATRICES AND CALCULUS,28,3,31,F,0,0
23Q61A05A0,181AN,MATRICES AND CALCULUS,39,6,45,F,0,0
23Q61A05A3,181AB,BASIC ELECTRICAL ENGINEERING,26,4,30,F,0,0
23Q61A05A3,181AP,PROGRAMMING FOR PROBLEM SOLVING,36,26,62,B+,7,3
23Q61A05B2,181AB,BASIC ELECTRICAL ENGINEERING,26,3,29,F,0,0
23Q61A05B2,181AP,PROGRAMMING FOR PROBLEM SOLVING,33,5,38,F,0,0
23Q61A05B8,181AN,MATRICES AND CALCULUS,34,5,39,F,0,0
23Q61A05B9,181AB,BASIC ELECTRICAL ENGINEERING,28,3,31,F,0,0
23Q61A05B9,181AN,MATRICES AND CALCULUS,33,3,36,F,0,0
23Q61A05C0,181AN,MATRICES AND CALCULUS,39,21,60,B+,7,4
23Q61A05C3,181AB,BASIC ELECTRICAL ENGINEERING,30,5,35,F,0,0
23Q61A05C3,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,38,12,50,F,0,0
23Q61A05C3,181AN,MATRICES AND CALCULUS,29,0,29,F,0,0
23Q61A05C4,181AN,MATRICES AND CALCULUS,32,21,53,B,6,4
23Q61A05C8,181AP,PROGRAMMING FOR PROBLEM SOLVING,30,21,51,B,6,3
23Q61A05D2,181AB,BASIC ELECTRICAL ENGINEERING,32,4,36,F,0,0
23Q61A05D2,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,39,10,49,F,0,0
23Q61A05D2,181AJ,ENGINEERING CHEMISTRY,31,4,35,F,0,0
23Q61A05D2,181AN,MATRICES AND CALCULUS,28,0,28,F,0,0
23Q61A05D2,181AP,PROGRAMMING FOR PROBLEM SOLVING,34,10,44,F,0,0
23Q61A05D4,181AB,BASIC ELECTRICAL ENGINEERING,35,7,42,F,0,0
23Q61A05D4,181AP,PROGRAMMING FOR PROBLEM SOLVING,32,21,53,B,6,3
23Q61A05D5,181AB,BASIC ELECTRICAL ENGINEERING,33,3,36,F,0,0
23Q61A05D5,181AP,PROGRAMMING FOR PROBLEM SOLVING,32,0,32,F,0,0
23Q61A05D8,181AB,BASIC ELECTRICAL ENGINEERING,32,0,32,F,0,0
23Q61A05D8,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,39,6,45,F,0,0
23Q61A05D8,181AN,MATRICES AND CALCULUS,30,7,37,F,0,0
23Q61A05D8,181AP,PROGRAMMING FOR PROBLEM SOLVING,30,21,51,B,6,3
23Q61A05E0,181AB,BASIC ELECTRICAL ENGINEERING,34,4,38,F,0,0
23Q61A05E0,181AN,MATRICES AND CALCULUS,33,3,36,F,0,0
23Q61A05E0,181AP,PROGRAMMING FOR PROBLEM SOLVING,34,9,43,F,0,0
23Q61A05E3,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,40,9,49,F,0,0
23Q61A05E3,181AN,MATRICES AND CALCULUS,30,5,35,F,0,0
23Q61A05E4,181AB,BASIC ELECTRICAL ENGINEERING,33,0,33,F,0,0
23Q61A05E4,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,30,4,34,F,0,0
23Q61A05E4,181AN,MATRICES AND CALCULUS,32,0,32,F,0,0
23Q61A05E4,181AP,PROGRAMMING FOR PROBLEM SOLVING,34,0,34,F,0,0
23Q61A05E5,181AB,BASIC ELECTRICAL ENGINEERING,34,4,38,F,0,0
23Q61A05E5,181AN,MATRICES AND CALCULUS,33,3,36,F,0,0
23Q61A05E8,181AB,BASIC ELECTRICAL ENGINEERING,34,21,55,B,6,2
24Q61A0501,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,39,59,98,O,10,1
24Q61A0501,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,48,0,48,O,10,1
24Q61A0501,18113,ENGINEERING CHEMISTRY LABORATORY,40,60,100,O,10,1
24Q61A0501,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,39,57,96,O,10,1
24Q61A0501,181AB,BASIC ELECTRICAL ENGINEERING,39,24,63,B+,7,2
24Q61A0501,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,39,21,60,B+,7,3
24Q61A0501,181AJ,ENGINEERING CHEMISTRY,40,41,81,A+,9,4
24Q61A0501,181AN,MATRICES AND CALCULUS,40,24,64,B+,7,4
24Q61A0501,181AP,PROGRAMMING FOR PROBLEM SOLVING,37,33,70,A,8,3
24Q61A0502,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,37,59,96,O,10,1
24Q61A0502,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,10,1
24Q61A0502,18113,ENGINEERING CHEMISTRY LABORATORY,38,59,97,O,10,1
24Q61A0502,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,38,56,94,O,10,1
24Q61A0502,181AB,BASIC ELECTRICAL ENGINEERING,33,21,54,B,6,2
24Q61A0502,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,39,23,62,B+,7,3
24Q61A0502,181AJ,ENGINEERING CHEMISTRY,33,21,54,B,6,4
24Q61A0502,181AN,MATRICES AND CALCULUS,32,11,43,F,0,0
24Q61A0502,181AP,PROGRAMMING FOR PROBLEM SOLVING,30,21,51,B,6,3
24Q61A0503,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,35,46,81,A+,9,1
24Q61A0503,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,10,1
24Q61A0503,18113,ENGINEERING CHEMISTRY LABORATORY,32,45,77,A,8,1
24Q61A0503,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,35,49,84,A+,9,1
24Q61A0503,181AB,BASIC ELECTRICAL ENGINEERING,34,21,55,B,6,2
24Q61A0503,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,36,23,59,B,6,3
24Q61A0503,181AJ,ENGINEERING CHEMISTRY,37,25,62,B+,7,4
24Q61A0503,181AN,MATRICES AND CALCULUS,35,21,56,B,6,4
24Q61A0503,181AP,PROGRAMMING FOR PROBLEM SOLVING,34,23,57,B,6,3
24Q61A0504,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,30,57,87,A+,9,1
24Q61A0504,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,46,0,46,O,10,1
24Q61A0504,18113,ENGINEERING CHEMISTRY LABORATORY,35,56,91,O,10,1
24Q61A0504,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,31,48,79,A,8,1
24Q61A0504,181AB,BASIC ELECTRICAL ENGINEERING,32,21,53,B,6,2
24Q61A0504,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,27,21,48,C,5,3
24Q61A0504,181AJ,ENGINEERING CHEMISTRY,34,26,60,B+,7,4
24Q61A0504,181AN,MATRICES AND CALCULUS,34,7,41,F,0,0
24Q61A0504,181AP,PROGRAMMING FOR PROBLEM SOLVING,33,24,57,B,6,3
24Q61A0505,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,38,59,97,O,10,1
24Q61A0505,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,48,0,48,O,10,1
24Q61A0505,18113,ENGINEERING CHEMISTRY LABORATORY,40,59,99,O,10,1
24Q61A0505,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,38,55,93,O,10,1
24Q61A0505,181AB,BASIC ELECTRICAL ENGINEERING,34,32,66,B+,7,2
24Q61A0505,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,34,29,63,B+,7,3
24Q61A0505,181AJ,ENGINEERING CHEMISTRY,40,23,63,B+,7,4
24Q61A0505,181AN,MATRICES AND CALCULUS,39,27,66,B+,7,4
24Q61A0505,181AP,PROGRAMMING FOR PROBLEM SOLVING,37,35,72,A,8,3
24Q61A0506,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,35,44,79,A,8,1
24Q61A0506,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,10,1
24Q61A0506,18113,ENGINEERING CHEMISTRY LABORATORY,28,45,73,A,8,1
24Q61A0506,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,20,44,64,B+,7,1
24Q61A0506,181AB,BASIC ELECTRICAL ENGINEERING,33,23,56,B,6,2
24Q61A0506,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,27,25,52,B,6,3
24Q61A0506,181AJ,ENGINEERING CHEMISTRY,27,8,35,F,0,0
24Q61A0506,181AN,MATRICES AND CALCULUS,26,5,31,F,0,0
24Q61A0506,181AP,PROGRAMMING FOR PROBLEM SOLVING,25,24,49,C,5,3
24Q61A0507,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,20,43,63,B+,7,1
24Q61A0507,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,10,1
24Q61A0507,18113,ENGINEERING CHEMISTRY LABORATORY,25,40,65,B+,7,1
24Q61A0507,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,20,47,67,B+,7,1
24Q61A0507,181AB,BASIC ELECTRICAL ENGINEERING,25,3,28,F,0,0
24Q61A0507,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,27,21,48,C,5,3
24Q61A0507,181AJ,ENGINEERING CHEMISTRY,22,5,27,F,0,0
24Q61A0507,181AN,MATRICES AND CALCULUS,27,4,31,F,0,0
24Q61A0507,181AP,PROGRAMMING FOR PROBLEM SOLVING,23,12,35,F,0,0
24Q61A0508,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,40,60,100,O,10,1
24Q61A0508,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,10,1
24Q61A0508,18113,ENGINEERING CHEMISTRY LABORATORY,40,60,100,O,10,1
24Q61A0508,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,40,58,98,O,10,1
24Q61A0508,181AB,BASIC ELECTRICAL ENGINEERING,39,12,51,F,0,0
24Q61A0508,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,38,32,70,A,8,3
24Q61A0508,181AJ,ENGINEERING CHEMISTRY,40,23,63,B+,7,4
24Q61A0508,181AN,MATRICES AND CALCULUS,40,23,63,B+,7,4
24Q61A0508,181AP,PROGRAMMING FOR PROBLEM SOLVING,37,28,65,B+,7,3
24Q61A0509,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,38,56,94,O,10,1
24Q61A0509,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,10,1
24Q61A0509,18113,ENGINEERING CHEMISTRY LABORATORY,38,56,94,O,10,1
24Q61A0509,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,39,57,96,O,10,1
24Q61A0509,181AB,BASIC ELECTRICAL ENGINEERING,34,27,61,B+,7,2
24Q61A0509,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,29,21,50,B,6,3
24Q61A0509,181AJ,ENGINEERING CHEMISTRY,40,21,61,B+,7,4
24Q61A0509,181AN,MATRICES AND CALCULUS,39,21,60,B+,7,4
24Q61A0509,181AP,PROGRAMMING FOR PROBLEM SOLVING,35,26,61,B+,7,3
24Q61A0510,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,40,60,100,O,10,1
24Q61A0510,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,10,1
24Q61A0510,18113,ENGINEERING CHEMISTRY LABORATORY,40,60,100,O,10,1
24Q61A0510,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,40,60,100,O,10,1
24Q61A0510,181AB,BASIC ELECTRICAL ENGINEERING,38,30,68,B+,7,2
24Q61A0510,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,39,40,79,A,8,3
24Q61A0510,181AJ,ENGINEERING CHEMISTRY,40,55,95,O,10,4
24Q61A0510,181AN,MATRICES AND CALCULUS,40,38,78,A,8,4
24Q61A0510,181AP,PROGRAMMING FOR PROBLEM SOLVING,36,29,65,B+,7,3
24Q61A0511,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,36,56,92,O,10,1
24Q61A0511,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,10,1
24Q61A0511,18113,ENGINEERING CHEMISTRY LABORATORY,35,55,90,O,10,1
24Q61A0511,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,34,45,79,A,8,1
24Q61A0511,181AB,BASIC ELECTRICAL ENGINEERING,28,21,49,C,5,2
24Q61A0511,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,31,21,52,B,6,3
24Q61A0511,181AJ,ENGINEERING CHEMISTRY,36,32,68,B+,7,4
24Q61A0511,181AN,MATRICES AND CALCULUS,35,11,46,F,0,0
24Q61A0511,181AP,PROGRAMMING FOR PROBLEM SOLVING,26,25,51,B,6,3
24Q61A0512,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,34,48,82,A+,9,1
24Q61A0512,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,46,0,46,O,10,1
24Q61A0512,18113,ENGINEERING CHEMISTRY LABORATORY,32,45,77,A,8,1
24Q61A0512,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,35,47,82,A+,9,1
24Q61A0512,181AB,BASIC ELECTRICAL ENGINEERING,26,7,33,F,0,0
24Q61A0512,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,30,4,34,F,0,0
24Q61A0512,181AJ,ENGINEERING CHEMISTRY,25,6,31,F,0,0
24Q61A0512,181AN,MATRICES AND CALCULUS,26,6,32,F,0,0
24Q61A0512,181AP,PROGRAMMING FOR PROBLEM SOLVING,28,4,32,F,0,0
24Q61A0513,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,30,46,76,A,8,1
24Q61A0513,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,10,1
24Q61A0513,18113,ENGINEERING CHEMISTRY LABORATORY,32,45,77,A,8,1
24Q61A0513,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,35,45,80,A+,9,1
24Q61A0513,181AB,BASIC ELECTRICAL ENGINEERING,27,7,34,F,0,0
24Q61A0513,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,32,0,32,F,0,0
24Q61A0513,181AJ,ENGINEERING CHEMISTRY,27,4,31,F,0,0
24Q61A0513,181AN,MATRICES AND CALCULUS,25,9,34,F,0,0
24Q61A0513,181AP,PROGRAMMING FOR PROBLEM SOLVING,25,11,36,F,0,0
24Q61A0514,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,38,58,96,O,10,1
24Q61A0514,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,10,1
24Q61A0514,18113,ENGINEERING CHEMISTRY LABORATORY,38,55,93,O,10,1
24Q61A0514,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,37,55,92,O,10,1
24Q61A0514,181AB,BASIC ELECTRICAL ENGINEERING,38,23,61,B+,7,2
24Q61A0514,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,31,25,56,B,6,3
24Q61A0514,181AJ,ENGINEERING CHEMISTRY,37,21,58,B,6,4
24Q61A0514,181AN,MATRICES AND CALCULUS,37,21,58,B,6,4
24Q61A0514,181AP,PROGRAMMING FOR PROBLEM SOLVING,35,28,63,B+,7,3
24Q61A0515,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,38,52,90,O,10,1
24Q61A0515,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,10,1
24Q61A0515,18113,ENGINEERING CHEMISTRY LABORATORY,32,50,82,A+,9,1
24Q61A0515,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,38,52,90,O,10,1
24Q61A0515,181AB,BASIC ELECTRICAL ENGINEERING,32,22,54,B,6,2
24Q61A0515,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,33,8,41,F,0,0
24Q61A0515,181AJ,ENGINEERING CHEMISTRY,37,23,60,B+,7,4
24Q61A0515,181AN,MATRICES AND CALCULUS,35,21,56,B,6,4
24Q61A0515,181AP,PROGRAMMING FOR PROBLEM SOLVING,34,33,67,B+,7,3
24Q61A0516,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,39,58,97,O,10,1
24Q61A0516,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,48,0,48,O,10,1
